file path,transcript
audios/chunk0_2_20200419_122234.wav,That's what I call. Good job.
audios/chunk0_3_20200419_122234.wav,I'm going to
audios/chunk100_0_20200419_122234.wav,There is a new one?
audios/chunk100_1_20200419_122234.wav,Now I'd like to take a look at your nose. So just. Ups.
audios/chunk101_2_20200419_122234.wav,Both now on when you said both where was the adult one?
audios/chunk101_3_20200419_122234.wav,How is your exam?
audios/chunk101_3_20200419_122311.wav,It's going to go perfect.
audios/chunk102_0_20200419_122234.wav,I recommend going to get that.
audios/chunk102_1_20200419_122354.wav,Be alright.
audios/chunk102_3_20200419_122234.wav,Can thick hair?
audios/chunk102_3_20200419_122311.wav,Shuffle Shurmur
audios/chunk103_3_20200419_122234.wav,I told you she was very thorough.
audios/chunk104_0_20200419_122234.wav,None of your family have any history of nerve damage nerve issues?
audios/chunk104_0_20200419_122310.wav,"We are gonna wash those clothes, of course, those corns."
audios/chunk106_0_20200419_122310.wav,They need the scrub. They need a purifying scrub.
audios/chunk108_2_20200419_122234.wav,Was gonna ask you to do a couple of silly things for me.
audios/chunk109_0_20200419_122234.wav,"Tasting, smelling, touching. Okay, all"
audios/chunk109_2_20200419_122234.wav,What I want you to do is open your mouth as wide as you can.
audios/chunk110_1_20200419_122234.wav,Just gonna get a light and look up just make sure there's nothing.
audios/chunk110_2_20200419_122234.wav,Good. now I'm going to try to close your job and told him to close it. Okay?
audios/chunk111_0_20200419_122234.wav,Panthea
audios/chunk111_2_20200419_122234.wav,very good girls about
audios/chunk112_2_20200419_122234.wav,And can you clench your jaw?
audios/chunk112_2_20200419_122354.wav,Take me to home.
audios/chunk113_2_20200419_122311.wav,"Let's do your mascara, let's do your powder. Let's do your lips. Let's do your hair. Let's do everything. Your nails need a little shir."
audios/chunk113_3_20200419_122234.wav,When you got lips like this on.
audios/chunk114_2_20200419_122354.wav,Big room for happiness tomorrow
audios/chunk115_2_20200419_122234.wav,How about showing your teeth?
audios/chunk117_0_20200419_122234.wav,She's very thorough.
audios/chunk117_2_20200419_122234.wav,And can you smile?
audios/chunk118_0_20200419_122234.wav,He makes you wear that dumb.
audios/chunk118_0_20200419_122310.wav,I just going to
audios/chunk118_3_20200419_122234.wav,yamaka
audios/chunk119_0_20200419_122234.wav,You know nothing is Pasto.
audios/chunk119_3_20200419_122234.wav,Hey I said that.
audios/chunk11_0_20200419_122233.wav,Can I get a first name and last name from you?
audios/chunk11_0_20200419_122310.wav,Can you?
audios/chunk11_2_20200419_122234.wav,And this is my vein.
audios/chunk120_0_20200419_122234.wav,how to test you lots of time
audios/chunk120_2_20200419_122234.wav,"Okay, and can you frown?"
audios/chunk121_2_20200419_122234.wav,About pout stick your lower lip out.
audios/chunk122_2_20200419_122311.wav,Let me set your browser.
audios/chunk123_2_20200419_122234.wav,And can you pull out your teeth?
