file path,transcript
audios/chunk0_3_20200419_121548.wav,Our finishing Touch
audios/chunk102_0_20200419_121531.wav,How do I know?
audios/chunk102_1_20200419_121500.wav,Don't what?
audios/chunk103_0_20200419_121531.wav,well
audios/chunk103_1_20200419_121500.wav,I have another little party to share with.
audios/chunk104_0_20200419_121531.wav,Bella and I met
audios/chunk104_1_20200419_121500.wav,"Annie party, obviously"
audios/chunk105_0_20200419_121501.wav,So I obviously but a lot more things to show you we could facing outfit around this but we have a lot more.
audios/chunk105_0_20200419_121531.wav,"a few years ago, actually. I think"
audios/chunk105_1_20200419_121500.wav,You want to scope out who all?
audios/chunk106_0_20200419_121531.wav,I was in the forest?
audios/chunk107_0_20200419_121501.wav,And will see what else strikes?
audios/chunk107_2_20200419_121501.wav,loudly vaguely weave
audios/chunk108_0_20200419_121531.wav,She must have been collecting ingredients records.
audios/chunk108_1_20200419_121500.wav,How can tell when you're scamming the room and it looks kinda?
audios/chunk109_0_20200419_121531.wav,We accidentally crossed bats.
audios/chunk109_1_20200419_121500.wav,The social ladder climbing E. I mean that's precisely what you're doing but.
audios/chunk10_1_20200419_121531.wav,Well Ranch at Brazos Bend of the usual dry.
audios/chunk110_1_20200419_121500.wav,You never going to look like it.
audios/chunk111_0_20200419_121531.wav,Winnipeg knife at my throat and threatened to
audios/chunk112_0_20200419_121501.wav,Comentarista is excellent match making material.
audios/chunk112_0_20200419_121531.wav,Slice me the smithery.
audios/chunk113_1_20200419_121500.wav,Your nice little chat with someone just pretend.
audios/chunk115_1_20200419_121500.wav,Touching up your last day actually.
audios/chunk116_0_20200419_121501.wav,When you're having a chat with someone cute.
audios/chunk116_0_20200419_121531.wav,"A bold move, but it was more out of nervousness The Bravery."
audios/chunk118_0_20200419_121501.wav,"Brush your clutch against that's really easy to be styled as you're having a giggle. Haha, oh no. Your Grace is there shoulder so when I get home the glitter dress"
audios/chunk118_0_20200419_121531.wav,in exchange for my light
audios/chunk11_1_20200419_121500.wav,"Wait, we are either Josh or do they?"
audios/chunk11_1_20200419_121531.wav,And instead of Steve Perpetual stew in the night we met.
audios/chunk11_2_20200419_121549.wav,So I'm very stressed I'm going  to start with an overall flash of a light brown.
audios/chunk122_0_20200419_121531.wav,"And, lucky for my existence on this Mortal plane"
audios/chunk125_0_20200419_121501.wav,3 out of 10 times which is like
audios/chunk125_1_20200419_121500.wav,red herring that jams in the shape
audios/chunk126_0_20200419_121531.wav,I'm not how you make friends.
audios/chunk128_0_20200419_121531.wav,"Yes, I suppose it is a bit harsh."
audios/chunk129_0_20200419_121531.wav,She has certainly mellowed out over the year.
audios/chunk130_0_20200419_121531.wav,I doubt that these days you would.
audios/chunk132_0_20200419_121531.wav,I wonder if I've had a positive influence of start.
audios/chunk132_1_20200419_121500.wav,I think those are great option.
audios/chunk133_1_20200419_121500.wav,Have you like?
audios/chunk137_0_20200419_121531.wav,Really?
audios/chunk13_3_20200419_121500.wav,Are you interested in any of this for an outfit for tonight?
audios/chunk142_0_20200419_121501.wav,Are you sure?
audios/chunk143_0_20200419_121531.wav,butterfly Midtown a potion of joy
audios/chunk148_0_20200419_121501.wav,I was thinking that tonight might be a great time.
audios/chunk14_1_20200419_121500.wav,Wake them up for an afternoon.
audios/chunk150_0_20200419_121531.wav,Last time I saw her supposed to happen.
audios/chunk155_0_20200419_121531.wav,Would you like to chat online for first up?
audios/chunk156_0_20200419_121531.wav,I always appreciate the company.
audios/chunk15_1_20200419_121500.wav,If I have an entire Castle.
audios/chunk15_3_20200419_121500.wav,Is there a purse?
audios/chunk160_0_20200419_121531.wav,I rather not my recipe book.
audios/chunk16_1_20200419_121500.wav,Are capers and Jen or whatever?
audios/chunk16_1_20200419_121531.wav,Africa
audios/chunk16_3_20200419_121500.wav,Perfect.
audios/chunk17_1_20200419_121500.wav,"Filt to the brim, with all my shiny stuff."
audios/chunk17_3_20200419_121500.wav,Tell Irene.
audios/chunk18_1_20200419_121500.wav,Can I have dragon teeth and dragon Jaws?
audios/chunk19_0_20200419_121501.wav,the address of Bobby Mack
audios/chunk19_1_20200419_121531.wav,"course, normally they would be with the queen but"
audios/chunk19_2_20200419_121501.wav,Camila me wearing a red bracelet
audios/chunk1_3_20200419_121548.wav,This is gonna be the lips. So. I give you options that I have and you can pick your favorite.
audios/chunk20_3_20200419_121500.wav,"You know, I did forget to show you one option for this year's if you're still undecided I can give you one last choice."
audios/chunk21_0_20200419_121531.wav,"Looks like pepper steak and white, do you?"
audios/chunk22_0_20200419_121531.wav,Annex kitchen
audios/chunk22_1_20200419_121500.wav,All over your scales bone shards in your teeth grows. That's that
audios/chunk22_2_20200419_121531.wav,The sad looks like they snatched us a lot worse that puffs up or little elf.
audios/chunk23_1_20200419_121548.wav,NYX Gotcha Covered the witches are really real.
audios/chunk23_3_20200419_121500.wav,it really doesn't get brighter than
audios/chunk24_0_20200419_121501.wav,How do you do? That is all?
audios/chunk26_1_20200419_121500.wav,So what do you think of the Dragons Almanac?
audios/chunk26_3_20200419_121549.wav,It will be better.
audios/chunk27_3_20200419_121500.wav,Night snack V.
audios/chunk28_0_20200419_121501.wav,anime
audios/chunk28_2_20200419_121531.wav,After been worn by royalty. It's certainly a real pearl.
audios/chunk29_0_20200419_121531.wav,Did you happen to bring the bubbles by any chance?
audios/chunk29_3_20200419_121500.wav,right
audios/chunk2_1_20200419_121500.wav,"Yeah, obviously, I've always it's totally up to you."
audios/chunk2_2_20200419_121549.wav,35f
audios/chunk30_1_20200419_121531.wav,Start with bread.
audios/chunk31_2_20200419_121531.wav,World Turtle brooch
audios/chunk31_3_20200419_121549.wav,Annabelle doll jacket
audios/chunk32_0_20200419_121501.wav,I want animal.
audios/chunk32_2_20200419_121501.wav,What do you think of these?
audios/chunk32_2_20200419_121531.wav,encrusted with diamonds and coal
audios/chunk32_3_20200419_121500.wav,and Freddy
audios/chunk33_0_20200419_121531.wav,Thank you so much.
audios/chunk33_1_20200419_121500.wav,I'm at right now I got
audios/chunk33_1_20200419_121531.wav,Panther sister
audios/chunk33_2_20200419_121501.wav,Very happy to hear it.
audios/chunk34_0_20200419_121501.wav,24/7 customer support
audios/chunk34_1_20200419_121531.wav,Where does Macy's day?
audios/chunk34_3_20200419_121500.wav,"Nothing, that's so cool about this card. It's actually three-dimensional we can just pull it up and like that and it sets up on its own. You can purchase it on your counter your dad your dashboard or something and what are we left? So I hope you like it."
audios/chunk35_0_20200419_121531.wav,That is a great help. Thank you.
audios/chunk35_1_20200419_121548.wav,I need Irish.
audios/chunk35_2_20200419_121501.wav,And that's Magic.
audios/chunk36_2_20200419_121501.wav,Eric and Nell
audios/chunk36_2_20200419_121549.wav,great white
audios/chunk37_1_20200419_121548.wav,even coat
audios/chunk37_3_20200419_121500.wav,Okay. Thank you. I just
audios/chunk38_1_20200419_121500.wav,Albert Einstein
audios/chunk38_2_20200419_121549.wav,Monday night FanDuel the inner corner of each lid
audios/chunk38_3_20200419_121500.wav,"You know, I cannot let you leave here without letting air."
audios/chunk39_0_20200419_121501.wav,Thank you our internet privacy today.
audios/chunk39_0_20200419_121531.wav,You don't know my cologne.
audios/chunk3_1_20200419_121500.wav,My job is just to make you feel as happy.
audios/chunk40_1_20200419_121531.wav,I don't tend to see eye-to-eye on magical moral.
audios/chunk42_1_20200419_121531.wav,7 quite different direction
audios/chunk42_2_20200419_121531.wav,only craving
audios/chunk43_1_20200419_121531.wav,Sage Dublin phone but
audios/chunk43_1_20200419_121548.wav,pictures of gorgeous
audios/chunk43_2_20200419_121501.wav,Cute accessory options leaves have been so trendy lately.
audios/chunk44_0_20200419_121549.wav,stop
audios/chunk44_1_20200419_121531.wav,Eva has always preferred like magic. Well Bella.
audios/chunk44_2_20200419_121501.wav,You can wear just one.
audios/chunk45_0_20200419_121531.wav,Are you sure?
audios/chunk46_0_20200419_121531.wav,I think I Am lyrics
audios/chunk46_1_20200419_121531.wav,Not to be confused with good and evil of Coors light and dark.
audios/chunk46_2_20200419_121501.wav,Do you want to go for that sleep?
audios/chunk47_0_20200419_121531.wav,You didn't happen to touch any of the crystals out learning me under?
audios/chunk47_0_20200419_121549.wav,BP when someone always be wrong
audios/chunk47_3_20200419_121549.wav,cell phone started
audios/chunk48_0_20200419_121531.wav,Cave did you?
audios/chunk48_2_20200419_121501.wav,Not on the other side as well.
audios/chunk4_1_20200419_121500.wav,But I think it'd be fun.
audios/chunk4_3_20200419_121548.wav,choice
audios/chunk50_0_20200419_121531.wav,I'm so sorry. I I would have warned you about that. I know you.
audios/chunk50_1_20200419_121531.wav,pictures of earthquake close growing up each other
audios/chunk50_2_20200419_121501.wav,Runway
audios/chunk51_2_20200419_121501.wav,not for everyone a lot of girls like to have
audios/chunk52_1_20200419_121500.wav,Grand Cherokee Laredo
audios/chunk52_1_20200419_121531.wav,Not be more different.
audios/chunk52_2_20200419_121501.wav,As much as volume as possible around their face narrow down the face shape.
audios/chunk52_3_20200419_121549.wav,Alright Laura live.
audios/chunk53_2_20200419_121501.wav,What do you guys think?
audios/chunk54_0_20200419_121531.wav,protects the mermaids from any
audios/chunk54_2_20200419_121501.wav,Mike the Knight
audios/chunk54_2_20200419_121531.wav,Not sure what this could be.
audios/chunk55_0_20200419_121501.wav,"Babe, how are you?"
audios/chunk55_0_20200419_121531.wav,intentions being sperm entering the realm
audios/chunk55_1_20200419_121500.wav,Let's go on the downstair. I'll bring the Febreze I'll be so cute.
audios/chunk55_1_20200419_121548.wav,I'll bet on the nose.
audios/chunk55_2_20200419_121549.wav,"really, right."
audios/chunk56_0_20200419_121501.wav,I have a missed seeing you are pretty little face around here.
audios/chunk56_3_20200419_121549.wav,That way if the lipstick on top of it starts to wear off.
audios/chunk57_0_20200419_121531.wav,daring Adventure
audios/chunk57_2_20200419_121501.wav,Thank you.
audios/chunk5_0_20200419_121549.wav,Do you want to go?
audios/chunk60_0_20200419_121531.wav,Well dive Thailand try to break off the Chris.
audios/chunk60_0_20200419_121549.wav,antibiotics my music
audios/chunk61_0_20200419_121501.wav,Stein see you in
audios/chunk62_0_20200419_121501.wav,Will you be impressed?
audios/chunk62_0_20200419_121531.wav,they're my highly coveted for the
audios/chunk63_0_20200419_121501.wav,"Where we get started, can I grab you anything to drink?"
audios/chunk63_2_20200419_121501.wav,Parker clothing
audios/chunk64_0_20200419_121501.wav,Stridor while I'm I know you're interested this t?
audios/chunk64_0_20200419_121531.wav,the mermaid the Heart by Nature
audios/chunk65_0_20200419_121531.wav,client care
audios/chunk66_0_20200419_121531.wav,gentle being I would never harm anyone or anything unprovoked but
audios/chunk66_2_20200419_121501.wav,Panda Express
audios/chunk67_0_20200419_121531.wav,attempted till Christmas
audios/chunk67_1_20200419_121531.wav,And I miss was long before even more about lower.
audios/chunk68_0_20200419_121531.wav,I need to even ask if you had attempted it.
audios/chunk68_1_20200419_121531.wav,Building up witches to fully protect their home from Intruders.
